5 5 5 5
22 31 22 -41 11 
4 37 -17 -40 -16 
-24 -39 37 3 0 
23 25 -17 15 8 

-16 27 30 -33 -24 
-36 41 -7 41 -26 
23 16 17 -5 -12 
45 -14 23 23 16 
37 25 -13 -7 -24 

41 38 -34 -38 10 
-25 -14 1 7 19 
45 23 24 -2 -46 
-49 -25 3 34 12 
6 -25 -25 44 -28 

-24 -10 -14 -20 -1 
22 32 34 -40 28 
-21 14 -48 11 19 
-22 10 39 4 18 
-33 7 -42 -23 -50 


-23 38 -50 35 38 
34 31 -29 -27 -7 
-1 2 7 8 26 
31 32 15 49 -9 
-44 47 -4 -15 -26 

-4 -27 -5 -26 -32 
33 -43 -27 17 16 
24 14 0 31 0 
5 35 -1 43 38 
-26 43 -12 42 10 

-45 9 0 -31 39 
-47 31 -48 -46 -47 
12 27 -33 17 47 
-15 5 30 -44 -2 
-3 -26 37 46 -24 

-43 -25 -27 -19 46 
-22 3 -50 -19 35 
43 32 -16 28 24 
4 -32 5 10 -41 
42 -11 -40 42 2 

-1 21 35 4 -26 
-48 -22 -49 -39 19 
-40 -13 14 -15 10 
-2 24 -16 16 18 
8 -43 -32 0 -38 


17
4 4 4
-11 28 3 -43 
-46 -22 0 35 
35 18 -2 48 
-24 -4 40 -19 

40 32 38 29 
-35 -15 -45 18 
-7 7 7 7 
4 -36 44 -42 

-21 27 -1 -19 
-19 25 -35 -26 
-10 47 -8 -5 
3 -48 -7 -37 

-30 -6 5 -33 
8 -3 -43 -35 
-46 -20 4 -48 
-5 6 41 -11 


4 4 4
43 -23 47 -25 
-8 4 -21 4 
-48 -12 44 -38 
-17 9 -16 -40 

39 35 -14 -27 
17 -13 45 -47 
-19 38 -4 35 
23 22 18 9 

-31 39 -1 38 
-2 37 41 29 
-46 -40 32 -14 
45 24 -24 19 

20 9 -35 46 
46 -41 34 35 
0 41 43 41 
25 34 31 -16 


4 4 4
-42 28 13 4 
30 1 15 38 
14 -36 42 3 
-28 -21 33 -1 

-2 -41 49 46 
-48 -28 -22 -21 
-49 40 -34 46 
-31 47 12 20 

30 40 -29 -4 
-49 -48 0 -23 
-37 38 3 20 
-29 -17 43 30 

9 15 -48 22 
36 -19 -27 -39 
-2 33 -42 -40 
-6 36 32 44 


4 4 4
-6 -36 15 -4 
30 -37 24 -28 
-31 -50 14 -4 
-39 -12 26 26 

32 15 -17 -10 
21 -39 33 30 
-4 -49 36 1 
30 22 -49 -20 

-29 -26 29 20 
33 -22 48 24 
-44 -38 -42 -40 
44 -36 -26 -21 

36 -31 43 -47 
-41 -25 41 15 
-25 23 17 10 
-21 22 8 17 


4 4 4
35 -15 -41 -8 
-1 33 -2 -7 
-28 -13 -47 18 
36 -17 48 -16 

29 -26 -11 8 
-14 13 9 -32 
-50 48 -1 32 
30 41 3 37 

-11 49 41 46 
-37 -50 -3 37 
-37 -5 19 4 
-21 36 -3 19 

34 -16 37 6 
41 -13 -7 3 
31 -24 21 -1 
39 7 -38 -46 


4 4 4
-8 5 12 15 
-22 -26 21 -25 
41 -26 37 -46 
-42 -48 30 11 

-14 38 49 33 
-30 -23 35 -9 
35 -22 47 -48 
-22 7 37 -39 

-35 -18 48 -10 
43 -48 -33 25 
8 -2 -32 -38 
13 32 -11 4 

-5 23 33 -26 
42 -30 26 -2 
-44 10 42 40 
-29 -42 18 43 


4 4 4
-18 -25 -2 44 
-18 -7 24 10 
29 28 4 30 
34 27 42 -28 

-26 2 -16 28 
13 35 5 -21 
-16 -43 -38 27 
-46 -27 43 -27 

4 -6 -12 1 
-7 -10 31 25 
-38 20 -5 -33 
-19 -15 32 -48 

-16 -29 -8 41 
16 42 25 -38 
34 -4 41 24 
-35 33 43 -27 


4 4 4
-26 36 -12 -4 
1 -26 45 -13 
-40 -7 -12 -27 
-4 4 -39 -18 

-16 -9 -21 23 
41 -24 20 -38 
-25 19 19 -33 
-48 39 -30 8 

32 -16 -44 27 
1 -50 -7 -46 
-36 -11 -47 -5 
32 34 -28 12 

-37 -32 -47 -49 
-5 1 -37 -25 
-12 39 17 -34 
-2 -7 33 23 


4 4 4
5 -21 47 37 
-28 -42 -30 38 
-6 28 -18 -18 
25 49 8 15 

-9 -46 -28 12 
26 -31 14 29 
-6 -44 -11 -13 
-21 -14 22 -43 

38 -33 -48 19 
47 -42 -7 38 
1 -7 -9 14 
-15 -17 -10 25 

-2 40 46 -49 
-39 -8 -39 -38 
16 -41 34 -1 
-38 -12 -41 39 


4 4 4
-46 -23 -11 -30 
15 25 -50 -44 
-2 -42 3 26 
12 37 -22 32 

-38 -16 33 35 
-38 13 34 46 
26 0 18 23 
-14 -28 -25 35 

-34 15 -20 41 
21 -37 1 -29 
28 45 26 7 
-15 -16 -3 -1 

-39 48 7 27 
-34 5 -6 -14 
-30 49 12 40 
-22 14 39 -28 


4 4 4
-29 -18 37 8 
-27 37 -45 -29 
38 27 34 15 
22 11 20 -18 

-32 -4 -35 1 
-16 32 -30 5 
26 -42 32 13 
-49 16 -17 -5 

26 -49 -50 -6 
43 -2 -27 6 
1 -29 -26 -39 
0 9 27 44 

-37 3 31 -15 
4 -27 39 -20 
-29 -37 11 22 
25 -1 -36 44 


4 4 4
45 5 15 -29 
36 18 -32 6 
-31 -19 42 -20 
38 -20 24 31 

43 -6 -45 5 
30 -18 18 -4 
-13 22 49 -4 
39 49 26 40 

41 33 37 29 
31 -15 6 -49 
-16 -11 -20 -16 
-24 -9 28 20 

-22 -48 25 26 
-21 -38 -15 -32 
17 -26 -10 30 
40 34 -39 21 


4 4 4
40 36 -40 -33 
43 -24 -50 -12 
13 29 -27 -35 
-39 -8 43 44 

-13 29 -36 -45 
34 -13 -44 31 
37 -36 21 -43 
-5 18 -10 8 

-34 -42 -25 -17 
48 26 -39 -17 
-20 -48 41 15 
-6 -26 48 -15 

13 29 8 -8 
31 -45 -13 -23 
24 -38 29 -8 
-48 -25 49 5 


4 4 4
33 -11 0 10 
-12 22 22 -40 
18 -49 -24 40 
8 37 43 42 

-26 -32 -49 -1 
32 -4 37 32 
9 -10 -46 -27 
24 25 -12 -41 

-13 23 47 -41 
8 -19 33 -45 
-8 -32 -36 17 
-43 -2 10 40 

-11 -9 -35 -19 
-45 8 -9 30 
32 -47 -21 0 
-50 11 29 44 


4 4 4
30 4 22 -31 
6 -24 28 20 
-39 17 -24 -30 
36 -30 -26 20 

42 33 44 -33 
7 29 -20 -39 
-49 37 -29 33 
32 9 -6 -8 

-46 -46 20 34 
-15 -17 3 -50 
-14 -45 -31 -28 
-23 9 -50 20 

-20 17 47 40 
-11 -42 -9 27 
10 37 3 39 
-9 3 -21 43 


4 4 4
-33 32 10 17 
-14 -18 -27 -17 
-24 20 -21 47 
22 -48 -43 35 

47 47 34 1 
-47 -40 34 -43 
-14 -47 -40 31 
40 15 41 -19 

-18 -35 -43 30 
44 -19 -4 9 
12 -36 -12 22 
-28 -8 -44 -44 

-1 -39 36 -6 
-39 -20 37 6 
32 -37 -11 7 
9 26 -35 36 


4 4 4
-4 37 9 42 
35 -18 -23 0 
-33 -32 35 -21 
-48 -36 -5 -23 

-19 -40 -48 44 
14 27 -47 23 
-5 34 -50 -37 
-21 21 -42 16 

-11 46 17 -1 
-3 -31 48 -21 
0 20 -31 -9 
13 -48 24 -1 

-17 33 9 14 
-37 -34 -3 -4 
46 -4 14 -49 
8 25 -29 39 


5 2 2 2 
-21972 -22254 
11034 -22280 

13602 -1872 
-34809 -8587 


-3032 40272 
20861 8805 

16100 7284 
21421 -2404 


-28674 25533 
4318 13262 

-45375 15528 
32395 -3927 


-44152 -2758 
-32234 -8091 

-43865 -4844 
39479 -14598 


-18501 37435 
-21034 -29075 

6625 43512 
-45943 40823 


